word,series_frequency,english_frequency,vocabulary_level
passed,1,33242084,N/A
counselor,1,7855180,N/A
dysfunction,1,3774291,N/A
semester,1,18133599,N/A
freud,1,1486467,N/A
happier,1,1879427,N/A
preceded,1,2429747,N/A
losing,1,12607223,N/A
whacked,1,265500,N/A
waited,1,3938627,N/A
initiative,1,21828838,C1
harder,1,8956549,N/A
harden,1,1067983,N/A
cop,1,9737327,N/A
collapsing,1,679748,N/A
discussing,1,6770039,N/A
renovated,1,2569941,N/A
residence,1,20340628,C2
mighty,1,7268735,C2
grew,1,10698645,N/A
wore,1,3490088,N/A
nub,1,268700,N/A
squeaking,1,112629,N/A
gerbil,1,413424,N/A
formidable,1,1298736,C2
maternal,1,3554398,N/A
statute,1,17226649,N/A
surveillance,1,10350424,N/A
qualm,1,256613,N/A
laughing,1,5900004,N/A
trending,1,359144,N/A
downward,1,3231710,C1
pinched,1,398260,N/A
took,1,66297175,N/A
jolt,1,957940,N/A
upheld,1,1520200,N/A
penal,1,1467202,N/A
pharmacology,1,7313571,N/A
wiggle,1,1244106,N/A
bled,1,620251,N/A
resent,1,1343648,C2
accrue,1,1140847,N/A
driven,1,17723706,N/A
insecurity,1,1474425,C2
messenger,1,22647801,N/A
clos,1,5872869,N/A
payin,1,54772,N/A
phoney,1,148042,N/A
fake,1,11922383,C1
grand,1,57003112,C1
itty,1,224697,N/A
bitty,1,437698,N/A
dolled,1,51766,N/A
dumb,1,5409969,C1
lame,1,3039367,N/A
scone,1,606353,N/A
spurt,1,495040,N/A
suave,1,336960,N/A
meatball,1,703390,N/A
administer,1,4763616,N/A
awarded,1,15460775,N/A
lobster,1,3488297,N/A
postal,1,29859679,C1
wehave,1,53016,N/A
patronize,1,153653,N/A
connected,1,28448231,N/A
turned,1,34215128,N/A
labor,1,38292450,N/A
scenario,1,9972760,C2
sending,1,20622624,N/A
steamship,1,354737,N/A
donated,1,5120422,N/A
kneecap,1,105664,N/A
subvert,1,374106,N/A
knocking,1,1630521,N/A
compulsive,1,1360158,C2
behavior,1,37145825,N/A
shame,1,6882495,C1
busted,1,1704787,N/A
cynical,1,1448585,C2
paid,1,60294928,N/A
denigrate,1,162009,N/A
crutch,1,702175,N/A
heard,1,45436523,N/A
withdrew,1,1362840,N/A
discussed,1,25146245,N/A
explained,1,17793559,N/A
leaving,1,23878642,N/A
tore,1,1187333,N/A
sweetie,1,1231301,N/A
decorator,1,2166206,N/A
redoing,1,121818,N/A
dump,1,8142635,C1
messin,1,103533,N/A
auction,1,83116660,C1
gutsy,1,213692,N/A
hannibal,1,997696,N/A
lecter,1,118333,N/A
jacketed,1,160744,N/A
primavera,1,542302,N/A
returned,1,34138333,N/A
falcon,1,6753076,N/A
ref,1,23286772,N/A
wanted,1,63301836,N/A
spike,1,6690828,N/A
perfection,1,4175976,C1
whoop,1,853257,N/A
marble,1,7817808,N/A
laborer,1,2597451,N/A
knew,1,31636418,N/A
grout,1,672496,N/A
bathtub,1,1632447,N/A
needing,1,3515408,N/A
clearer,1,2309498,N/A
bellybutton,1,56552,N/A
screw,1,12194010,N/A
unscrewin,1,0,N/A
unscrewed,1,49422,N/A
penis,1,18819498,N/A
swoop,1,549936,N/A
beak,1,707183,C1
seagull,1,1061779,N/A
sawthe,1,0,N/A
planted,1,4001421,N/A
pelican,1,2436961,N/A
flamingo,1,1638181,N/A
became,1,37332761,N/A
dread,1,1793372,C2
stove,1,3914849,N/A
starting,1,68080206,N/A
figuring,1,1391448,N/A
someday,1,3127732,N/A
torched,1,133733,N/A
defense,1,37819618,N/A
howiwas,1,0,N/A
parented,1,29253,N/A
supported,1,38989028,N/A
complimented,1,422582,N/A
selling,1,44375770,N/A
screwing,1,867732,N/A
distraction,1,2050162,C1
avenue,1,37522170,C1
faster,1,31541236,N/A
decency,1,754590,N/A
dope,1,1527288,N/A
fag,1,977692,N/A
allagita,1,0,N/A
complaining,1,2596505,N/A
larger,1,61265757,N/A
mesquite,1,1133843,N/A
