word,series_frequency,english_frequency,vocabulary_level
grasp,1,3398499,C1
groan,1,781298,C2
invited,1,14757576,N/A
coop,1,3118773,N/A
trying,1,57462639,N/A
sniffle,1,142667,N/A
heartbeat,1,2157269,N/A
homebuyer,1,1256141,N/A
anchor,1,10386787,C2
volatility,1,2661449,N/A
reported,1,53189294,N/A
