word,series_frequency,english_frequency,vocabulary_level
realized,1,11186108,N/A
depended,1,1133997,N/A
rumor,1,5977664,N/A
suppose,1,11981451,C1
claimant,1,4387513,N/A
slaughtered,1,812883,N/A
bought,1,31501377,N/A
questioned,1,3747297,N/A
questioning,1,3216170,N/A
denying,1,2581389,N/A
seeing,1,26322092,N/A
betrayed,1,1200949,N/A
lurking,1,909060,N/A
granted,1,19576234,N/A
brutal,1,5675803,C1
horribly,1,861042,N/A
escort,1,16975528,N/A
cutthroat,1,420385,N/A
infant,1,19632816,C2
yield,1,20685808,C2
caught,1,17749748,N/A
pant,1,19912941,N/A
flea,1,2796116,N/A
stabbed,1,787357,N/A
sold,1,42979181,N/A
worked,1,38128226,N/A
hatted,1,36341,N/A
stupider,1,77182,N/A
highborn,1,0,N/A
calling,1,30005364,N/A
unladylike,1,0,N/A
banging,1,1531392,N/A
carrying,1,16328349,N/A
arbor,1,5391721,N/A
sent,1,68953120,N/A
rein,1,1727383,N/A
horseback,1,1969441,N/A
longer,1,54063969,N/A
bauble,1,217221,N/A
corpse,1,2662009,C2
clink,1,164177,N/A
trained,1,13608102,N/A
clutching,1,413593,N/A
heed,1,1226624,N/A
counsel,1,15173891,N/A
hunted,1,1048330,N/A
hearing,1,44863940,N/A
homecoming,1,1819011,N/A
eldest,1,1064349,N/A
treasury,1,9415163,N/A
smallest,1,5075157,N/A
gambler,1,1814023,N/A
proved,1,9782793,N/A
battlefield,1,7530947,N/A
larger,1,61265757,N/A
begun,1,8636352,N/A
rally,1,10456709,C2
honorable,1,3346100,N/A
worthy,1,6960825,C1
coming,1,70099649,N/A
vouch,1,420356,N/A
insulted,1,528901,N/A
promis,1,6722690,N/A
harbor,1,14934790,N/A
stealing,1,3046130,N/A
cheesemonger,1,0,N/A
merchant,1,51603557,N/A
offering,1,43157600,N/A
plunder,1,570181,N/A
greatest,1,25547808,N/A
richest,1,1912591,N/A
attacking,1,3052252,N/A
rightful,1,707949,N/A
groan,1,781298,C2
believer,1,4754440,N/A
glory,1,13562143,C1
met,1,45111009,N/A
holy,1,23780151,C1
mocking,1,633379,N/A
praying,1,2816625,N/A
lit,1,7096253,N/A
prayed,1,1490059,N/A
raised,1,24397948,N/A
imagined,1,2631487,N/A
someday,1,3127732,N/A
exile,1,3389556,C2
serving,1,32312647,N/A
starve,1,540312,C1
overthrow,1,953396,N/A
plated,1,4833142,N/A
thug,1,2948078,N/A
rallying,1,678311,N/A
slaughter,1,2982546,C2
decency,1,754590,N/A
lying,1,8260845,N/A
weed,1,8672017,C2
ripping,1,1582529,N/A
strangle,1,291238,N/A
fallen,1,7714660,N/A
repeatedly,1,4920604,C1
ripped,1,2642534,N/A
bled,1,620251,N/A
sake,1,6673422,N/A
waf,1,11140230,N/A
crashing,1,1901462,N/A
unarmed,1,602459,N/A
wiser,1,841127,N/A
trusted,1,14554254,N/A
whispering,1,1061994,N/A
purest,1,500985,N/A
troubled,1,3801498,C1
scout,1,9905937,N/A
allegiance,1,1960884,N/A
greater,1,55673859,N/A
stolen,1,7341424,N/A
burnt,1,3221640,N/A
idol,1,6708398,C1
vow,1,2874235,C2
sickly,1,286991,N/A
disgust,1,915400,C2
stillborn,1,199827,N/A
howling,1,770604,N/A
cooing,1,76387,N/A
