word,series_frequency,english_frequency,vocabulary_level
witch,1,8574215,C1
cursed,1,1926459,N/A
loving,1,10172381,N/A
swiftly,1,1261168,C2
devastated,1,1150759,C1
reckoned,1,607006,N/A
pushing,1,5952141,N/A
amassing,1,118559,N/A
crunch,1,1962528,N/A
conquer,1,2524477,C1
manipulative,1,570483,N/A
blacklist,1,1080723,N/A
redemption,1,4360727,N/A
