word,series_frequency,english_frequency,vocabulary_level
canopy,1,4117245,N/A
capability,1,31464999,C1
indefinitely,1,1501553,C2
noticing,1,1095262,N/A
brought,1,39794764,N/A
rotting,1,606382,N/A
conditioning,1,12490899,N/A
arguing,1,3084735,N/A
heard,1,45436523,N/A
took,1,66297175,N/A
importing,1,2862094,N/A
refining,1,2057173,N/A
labeled,1,5765620,N/A
insure,1,5510260,N/A
toward,1,66823223,N/A
associate,1,81238514,C1
bust,1,5258179,N/A
seizing,1,559841,N/A
dent,1,4122573,N/A
flooded,1,1761295,N/A
trying,1,57462639,N/A
hippy,1,1104250,N/A
replaced,1,14987637,N/A
coroner,1,1026298,N/A
dixie,1,2920964,N/A
morgue,1,398696,N/A
refrigerated,1,1009532,N/A
corps,1,771075,N/A
defense,1,37819618,N/A
coming,1,70099649,N/A
siren,1,2133990,C2
paramedic,1,1471579,N/A
collapsed,1,2427732,N/A
breathing,1,6778253,N/A
dilated,1,505813,N/A
pulse,1,18893735,C1
overdosed,1,66034,N/A
residue,1,7068372,N/A
nostril,1,606972,C2
injection,1,12706105,C2
tried,1,34201786,N/A
ounce,1,7199377,N/A
pellet,1,2172084,N/A
bloodstream,1,586625,N/A
survif,1,1073826,N/A
waiting,1,30170505,N/A
renegotiation,1,220991,N/A
forgiving,1,738478,N/A
listened,1,4448001,N/A
disappeared,1,3791611,N/A
leaving,1,23878642,N/A
asking,1,19887691,N/A
laughing,1,5900004,N/A
faggot,1,451557,N/A
handcuff,1,756572,N/A
counted,1,5615635,N/A
agreed,1,28717540,N/A
served,1,32541796,N/A
herald,1,12364307,N/A
courthouse,1,2347505,N/A
testimony,1,10880472,N/A
attorney,1,57137817,N/A
boarded,1,661185,N/A
bureau,1,26110155,N/A
flowing,1,4208602,N/A
menacing,1,473864,N/A
threatening,1,5146833,N/A
undercutting,1,123225,N/A
folksy,1,93169,N/A
vowed,1,863379,N/A
stole,1,3091656,N/A
volunteered,1,1452642,N/A
pearl,1,22735227,N/A
harbor,1,14934790,N/A
stepped,1,4130208,N/A
laced,1,790357,N/A
army,1,46902606,C2
patriotic,1,3654140,N/A
badmouth,1,22043,N/A
learned,1,23121323,N/A
gringo,1,291827,N/A
bounty,1,2392865,N/A
